Uniq Id,Pageurl,Complete_Review,Rating out of 5
afffe2013b28b4f315309524e70fbd0a,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4185?pageNumber=4185,Four Stars. I love it!!,4.0
a76e8f02c13607341913a6f9621272b2,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_5334?pageNumber=5334,"I replaced Siri with Alexa... I bought family members the Amazon Echo last year for Christmas gifts and have been jealous the entire time (and they all LOVE the Echos)!  This past Christmas, I was given an Amazon Dot and love it!  I didn't want the Echo because I have an awesome Bose bluetooth speaker, and I hooked my Dot up to!  Love playing my music and having Alexa control my home's lights, thermostat, etc.  Alexa's voice recognition blows Apple's Siri outta the water.  I've replaced Siri with Alexa, in my home! Love that new ""skills"" are added daily.07/20/17 UPDATE:  I knocked the review down to 3 stars now, the weather that Alexa reports is ALWAYS about 4-5 degrees warmer than it actually is.  It does not get the info from weather channel, as it shows the correct temperature for my zip code.  Yes, my Alex is setup for the same zip code as my weather app.  Get Alex weather app to report the correct current weather!!!",3.0
95989b4f7b36af92938eb1ff8b47bf75,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1826?pageNumber=1826,It was cool while it lasted. It was cool while it lasted.  For some reason it doesn't work anymore. It won't turn on at all or give any sign of life.,2.0
f4d2291f4ee22563e68f7f84cdca3823,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1261?pageNumber=1261,Love using. Second one I have.  Love using them,5.0
42edfc6f411a7527e680c4f139dc14d3,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_2108?pageNumber=2108,Five Stars. love it,5.0
68c77be122078ffe9d5209b8065ca762,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_5187?pageNumber=5187,Won't Cooperate with Law Enforcement!. There's no way I'm buying this since Amazon won't cooperate with law enforcement to bring my killer to justice with its data!,1.0
6cd13e78c3b75dd3898feb344c36bc88,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_2309?pageNumber=2309,Awesome device. Work's very well. Hope Alexa learns more skills to link with Chamberlain door openers,5.0
e45bc7df0cc0e3c85156e16abf8d93d9,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_2129?pageNumber=2129,Echo dot. It is good. It works fine.,4.0
04152371e7f6dcb15d55a4a7ccc1002e,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_402?pageNumber=402,"If you have Siri pass!. The only good things I can say is that it plays songs readily, sets an alarm easily and gives you word definitions but if you have Siri they both fail equally.  Technology is better than this! I would return it if my son didn't love how easily it plays songs, answers his kindergarten math problems and defines words and since he doesn't have a phone because he's too young I guess it's worth the $50 :/",3.0
f5362777a98d3bbc91068dd5387f0095,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4310?pageNumber=4310,"Five Stars. Super cool, fun and informative!",5.0
1385dba5b95b821fd88af14ad291e202,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_3574?pageNumber=3574,Three Stars. Still needs some improvement but overall it's ok.,3.0
962553bbff6f25fc65af068ea0e2e309,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_5648?pageNumber=5648,Cool little device but just not extremely useful like I ... Doesn't seem to hear me very well. Convenient for music and alarms but was under the impression I would have much more use for it. Cool little device but just not extremely useful like I though it may be.,1.0
ee9a118363a9f27e7d69b09f9a75aa68,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_935?pageNumber=935,"This thing is like a teenager. This thing is like a teenager.  It is selectively deaf.  I will have to repeat myself several times for it to either wake or respond, even is a quiet room.",3.0
4eed8faed0eafdb7873ee1426fce9142,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_3888?pageNumber=3888,Button stopped working. volume down button stopped working. 3 months of light use,2.0
b3e1da3cd97f0d936779fec4c215b9eb,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_2052?pageNumber=2052,"the Music sounds great but the speaker we had before these. the Music sounds great but the speaker we had before these, had more of a Stereo tone to it, and pushed more Base, these sound a little mono tone, but love the hidden aspect of that we can hide this anywhere, because there small.",4.0
eaa584348e249078ac413dfdaf9ee8f4,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_2059?pageNumber=2059,Not impressed. Volume isn't the greatest and cannot stream everything like my pod casts. Best for like a small area (I.e bathroom),3.0
8e164fe868feaf08d171f274493488a3,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1933?pageNumber=1933,"Useless product. Might be good for those of us ... Useless product. Might be good for those of us who live in a house where everything is connected to the web, starting from the lighting system to the alarm lock. For anyone that lives a normal life, this product is useless.Worse then siri.",1.0
342a5727f55c75f8b78242fc1e60e460,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_3898?pageNumber=3898,Five Stars. Kids enjoy. wish it was a way to control personal music.,5.0
e9edd8e0e73fce2b96596e490f072263,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_472?pageNumber=472,"Bad A$$ Tech!. Simply love this ... I did the research between the dot, the full size and the Google - I liked them all for different reasons. The reason I chose the dot? A) Exact same features as the full size Alexa for 75% less. B) I already have a baddddd a$$ Marshall Blue Tooth Speaker that blows away anything on the market. C) It has waaaaaay more 3rd party apps 'currently' than the Google. It runs my Hue lights, both Amazon and Spotify music, etc - - - - - -  AND Amazon customer service and shipping rocks! And yesterday they made their first 'Drone"" delivery in 13 minutes after it was ordered! slick!",5.0
4d45393b45ae5174ac0d93310f4dc25d,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_5429?pageNumber=5429,"No speakerphone for mobile phone?!?. Very Disappointed.No speakerphone for mobile phone, REALLY!?!.  Every bluetooth speaker on the market has a built-in speakerphone.it's going back",1.0
761e38e4e89894b3184ea9e715e9f1d9,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_2737?pageNumber=2737,Fun and exciting!. I am enjoying learning all the things the Dot can do; which is far more than I expected. Everybody should have one...or two...of these.,5.0
e79b3aa050dfb66b2ecc11ec7129d911,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_5673?pageNumber=5673,Three Stars. still in the box!,3.0
279b54604c54560252803d88f241529b,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_681?pageNumber=681,"the Echo is pretty awesome but I do have a few things that ... the Echo is pretty awesome but I do have a few things that I don't really like about it. 1st, I don't know why I thought it would be portable because it is not. And by portable I mean functioning without it needing to be plugged in to a power source. 2nd, it seems the speakers are at the bottom so if the Echo sits on anything other than a hard surface, you'll have a bit of trouble hearing. Overall though, I like the Echo. I'm already planning to purchase it's bigger sister.",3.0
254d36b5d6d820e2d9f7c481f773784b,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_947?pageNumber=947,"It's a decent product but kind of a scam. It's a decent product but somewhat of a scam. Read the very fine print. If you want to know what the temperature is ask Alexa. It works. You want some headlines. Ask Alexa. It works. You want sports scores. Ask Alexa. It works. If you want to start making a smart home it's okay. BUT. A bunch of the stuff you want it to do is going to cost you. I use the free Spotify version. If you want it to work with the Alexa, you have to have a paid subscription. If you want to order from Amazon with Alexa, you have to have a Prime account.Bottom line: If you want full functionality, it's gonna cost ya. Be prepared to shell out some money.",3.0
7cbe444975cdc375110ec1ecbea54068,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_2297?pageNumber=2297,"I enjoy my echo a lot. I enjoy my echo a lot, it does a lot of things. I enjoy it most for college as I ask a lot of questions and Alexa is able to give me the answers to them.",3.0
6f5666e1ff253c4b6bf5e683ddaba912,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_3906?pageNumber=3906,Four Stars. Great product!,4.0
9721740d220930141d6fc7be511a6948,https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1041?pageNumber=1041,Two Stars. Does not work well we live in the country slow internet service.,2.0
